#,Name,Team,Position,Age,Market Value (€m),Contract Expiry,Tackles,Errors leading to goal,Clean sheets,Blocked shots,Interceptions,Clearances,Dribbled past,Errors leading to shot,Blocked shots.1,Aerial duels won %,Aerial duels won,Fouls,Minutes played,Appearances,Started,Dispossessed,Accurate passes,Accurate passes %,Long balls (accurate),Accurate long balls %,Key passes,Tackles_p90,Interceptions_p90,Clearances_p90,Blocked shots_p90,Errors leading to goal_p90,Errors leading to shot_p90,Dribbled past_p90,Aerial duels won_p90,Fouls_p90,Dispossessed_p90,Accurate passes_p90,Long balls (accurate)_p90,Key passes_p90,Clean sheets_p90,PC1,PC2,Cluster
72,George Tanner,Bristol City,Right-Back,24,1.5,2027,2.21,0.03,0.21,0.67,0.79,4.61,25,1,22,54.9,56,12,2524,33,27,6,1179,83.74,48,36.92,9,0.07880348652931854,0.028169572107765453,0.16438193343898574,0.023890649762282095,0.00106973058637084,0.03565768621236133,0.8914421553090333,1.9968304278922346,0.42789223454833597,0.21394611727416799,42.04041204437401,1.7115689381933439,0.32091917591125196,0.007488114104595879,-0.33124682917090764,-0.31285571306727145,1
73,Callum Brittain,West Bromwich Albion,Right-Back,28,1.5,2026,1.59,0.0,0.2,0.2,1.14,2.57,26,0,9,54.35,50,39,3920,44,44,24,1844,81.34,83,36.4,54,0.03650510204081633,0.0261734693877551,0.05900510204081632,0.004591836734693878,0.0,0.0,0.596938775510204,1.1479591836734693,0.8954081632653061,0.5510204081632653,42.33673469387755,1.905612244897959,1.2397959183673468,0.004591836734693878,-2.014513522207791,-1.9161666561776716,1
74,Semi Ajayi,West Bromwich Albion,Centre-Back,31,1.0,2025,1.25,0.04,0.21,0.54,1.25,5.54,6,1,13,64.71,55,8,1843,24,20,4,564,76.53,51,34.46,3,0.061041779706999456,0.061041779706999456,0.2705371676614216,0.026370048833423768,0.0019533369506239827,0.048833423765599564,0.29300054259359737,2.6858383071079763,0.3906673901247965,0.19533369506239825,27.542051003798154,2.490504612045578,0.14650027129679868,0.010255018990775909,1.0961794439352308,1.1923243523094351,0
75,Max Cleworth,Wrexham,Centre-Back,25,1.5,2027,1.78,0.02,0.22,0.63,0.85,4.93,16,1,26,60.23,106,27,3595,41,40,13,1525,79.97,100,35.84,17,0.04456189151599444,0.021279554937413073,0.12342141863699582,0.01577190542420028,0.0005006954102920723,0.025034770514603618,0.4005563282336579,2.6536856745479835,0.6759388038942976,0.325452016689847,38.17802503477051,2.503477051460362,0.4255910987482615,0.005507649513212796,-0.005761696157685814,-1.2450467161166154,2
76,Jakov Medić,Stoke City,Centre-Back,25,2.0,2027,0.38,0.06,0.06,1.19,0.88,5.13,6,1,19,56.14,32,3,1236,16,13,3,705,86.61,52,50.0,3,0.02766990291262136,0.06407766990291262,0.37354368932038834,0.0866504854368932,0.004368932038834952,0.07281553398058253,0.4368932038834952,2.330097087378641,0.2184466019417476,0.2184466019417476,51.334951456310684,3.7864077669902914,0.2184466019417476,0.004368932038834952,4.1216296042717095,0.7077818235345307,0
77,Amari'i Bell,Luton Town,Left-Back,30,0.8,2025,1.0,0.06,0.26,0.68,1.0,3.68,11,2,23,61.11,44,20,2702,34,32,11,891,76.15,54,30.51,8,0.033308660251665435,0.033308660251665435,0.1225758697261288,0.022649888971132497,0.001998519615099926,0.06661732050333087,0.36639526276831974,1.465581051073279,0.6661732050333087,0.36639526276831974,29.6780162842339,1.7986676535899333,0.2664692820133235,0.008660251665433013,-0.460939341047825,-0.1602868449093082,1
78,Femi Seriki,Watford,Right-Back,23,1.5,2027,2.18,0.05,0.13,0.11,0.79,1.66,22,2,4,47.56,39,30,2578,38,29,35,843,79.23,34,29.06,35,0.0761055081458495,0.027579519006982158,0.057951900698215666,0.0038401861908456164,0.0017455391776570986,0.06982156710628394,0.7680372381691233,1.3615205585725367,1.047323506594259,1.2218774243599688,29.42979053529868,1.186966640806827,1.2218774243599688,0.004538401861908456,-4.0219881435952365,-0.3528721351765781,1
79,Matthew Pollock,Blackburn Rovers,Centre-Back,25,1.5,2027,0.89,0.03,0.14,0.86,0.91,6.69,11,1,30,66.48,121,28,2902,35,32,4,1352,82.24,110,39.86,4,0.027601654031702273,0.028221915920055133,0.2074776016540317,0.026671261199172982,0.00093039283252929,0.031013094417643,0.34114403859407305,3.7525844245348035,0.8683666436940041,0.124052377670572,41.92970365265334,3.4114403859407303,0.124052377670572,0.0043418332184700205,1.9524949085610872,-1.0633746793246663,2
81,Jay DaSilva,Bristol City,Left-Back,28,1.0,2026,1.69,0.07,0.29,0.21,1.02,1.88,24,3,9,39.71,27,26,3552,42,41,18,1676,86.66,44,34.92,48,0.042820945945945946,0.025844594594594594,0.04763513513513513,0.005320945945945945,0.0017736486486486487,0.07601351351351351,0.6081081081081081,0.6841216216216216,0.6587837837837838,0.4560810810810811,42.46621621621622,1.114864864864865,1.2162162162162162,0.0073479729729729725,-2.052404606094788,-1.8093999043198659,1
83,Jordan Storey,Preston North End,Centre-Back,28,1.0,2026,1.09,0.02,0.21,0.6,1.65,7.07,11,1,26,66.45,206,27,3691,43,42,10,1145,74.21,63,26.14,12,0.02657816309943105,0.04023299918721213,0.17239230560823626,0.014630181522622594,0.00048767271742075315,0.02438363587103766,0.26821999458141427,5.023028989433757,0.6583581685180168,0.2438363587103766,27.91926307233812,1.5361690598753726,0.2926036304524519,0.0051205635329179084,0.12382999342185395,0.2040627034677744,2
